time_s,phase,command_height_m,base_height_m,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos,joint_12_pos,joint_13_pos,joint_14_pos,joint_15_pos,joint_0_target,joint_1_target,joint_2_target,joint_3_target,joint_4_target,joint_5_target,joint_6_target,joint_7_target,joint_8_target,joint_9_target,joint_10_target,joint_11_target,joint_12_target,joint_13_target,joint_14_target,joint_15_target
0.00000000,joint_to_pre_height,0.12000000,0.25306869,-0.43788302,-1.07628036,2.76047516,0.58792359,0.43795386,-1.07630360,2.76047778,0.59009731,-0.43780252,1.00507712,-2.76048064,0.94955403,0.43770674,1.00524187,-2.76048017,0.94292051,-0.43788302,-1.07628036,2.76047516,0.58792359,0.43795386,-1.07630360,2.76047778,0.59009731,-0.43780252,1.00507712,-2.76048064,0.94955403,0.43770674,1.00524187,-2.76048017,0.94292051
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306869,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306866,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.00500000,joint_to_pre_height,0.12000000,0.25306866,-0.43788290,-1.07628036,2.76047516,0.58793497,0.43795320,-1.07630336,2.76047730,0.59010863,-0.43780228,1.00507712,-2.76048088,0.94956565,0.43770686,1.00524032,-2.76048017,0.94293457,-0.43786836,-1.07628882,2.76047182,0.58791536,0.43793860,-1.07631183,2.76047444,0.59008878,-0.43778771,1.00508761,-2.76047730,0.94953400,0.43769228,1.00525117,-2.76047683,0.94290304
0.01000000,joint_to_pre_height,0.12000000,0.25306866,-0.43788275,-1.07628036,2.76047516,0.58794630,0.43795258,-1.07630312,2.76047730,0.59011990,-0.43780208,1.00507665,-2.76048088,0.94957745,0.43770695,1.00523889,-2.76048017,0.94294858,-0.43782470,-1.07631397,2.76046133,0.58786809,0.43789437,-1.07633686,2.76046443,0.59004104,-0.43774390,1.00511956,-2.76046705,0.94945091,0.43764886,1.00528193,-2.76046634,0.94282293
0.01000000,joint_to_pre_height,0.12000000,0.25306866,-0.43788275,-1.07628036,2.76047516,0.58794630,0.43795258,-1.07630312,2.76047730,0.59011990,-0.43780208,1.00507665,-2.76048088,0.94957745,0.43770695,1.00523889,-2.76048017,0.94294858,-0.43782470,-1.07631397,2.76046133,0.58786809,0.43789437,-1.07633686,2.76046443,0.59004104,-0.43774390,1.00511956,-2.76046705,0.94945091,0.43764886,1.00528193,-2.76046634,0.94282293
0.01000000,joint_to_pre_height,0.12000000,0.25306866,-0.43788275,-1.07628036,2.76047516,0.58794630,0.43795258,-1.07630312,2.76047730,0.59011990,-0.43780208,1.00507665,-2.76048088,0.94957745,0.43770695,1.00523889,-2.76048017,0.94294858,-0.43782470,-1.07631397,2.76046133,0.58786809,0.43789437,-1.07633686,2.76046443,0.59004104,-0.43774390,1.00511956,-2.76046705,0.94945091,0.43764886,1.00528193,-2.76046634,0.94282293
0.01000000,joint_to_pre_height,0.12000000,0.25306866,-0.43788275,-1.07628036,2.76047516,0.58794630,0.43795258,-1.07630312,2.76047730,0.59011990,-0.43780208,1.00507665,-2.76048088,0.94957745,0.43770695,1.00523889,-2.76048017,0.94294858,-0.43782470,-1.07631397,2.76046133,0.58786809,0.43789437,-1.07633686,2.76046443,0.59004104,-0.43774390,1.00511956,-2.76046705,0.94945091,0.43764886,1.00528193,-2.76046634,0.94282293
